<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>
2024.01.02,02:53:00,1.08683,1.08694,1.08679,1.08690,60
2024.01.02,02:54:00,1.08691,1.08697,1.08679,1.08679,60
2024.01.02,02:55:00,1.08680,1.08681,1.08660,1.08660,60
2024.01.02,02:56:00,1.08661,1.08666,1.08641,1.08641,60
2024.01.02,02:57:00,1.08641,1.08645,1.08632,1.08637,60
2024.01.02,02:58:00,1.08637,1.08637,1.08608,1.08609,60
2024.01.02,02:59:00,1.08608,1.08611,1.08582,1.08585,60
2024.01.02,03:00:00,1.08584,1.08587,1.08576,1.08581,60
2024.01.02,03:01:00,1.08579,1.08586,1.08558,1.08561,60
2024.01.02,03:02:00,1.08562,1.08563,1.08536,1.08550,60
2024.01.02,03:03:00,1.08551,1.08555,1.08538,1.08539,60
2024.01.02,03:04:00,1.08538,1.08541,1.08512,1.08514,60
2024.01.02,03:05:00,1.08515,1.08516,1.08500,1.08510,60
2024.01.02,03:06:00,1.08509,1.08518,1.08496,1.08505,60
2024.01.02,03:07:00,1.08503,1.08503,1.08475,1.08475,60
2024.01.02,03:08:00,1.08476,1.08476,1.08447,1.08449,60
2024.01.02,03:09:00,1.08447,1.08448,1.08424,1.08425,60
2024.01.02,03:10:00,1.08426,1.08429,1.08410,1.08410,60
2024.01.02,03:11:00,1.08408,1.08414,1.08400,1.08402,60
2024.01.02,03:12:00,1.08402,1.08406,1.08385,1.08389,60
2024.01.02,03:13:00,1.08388,1.08389,1.08375,1.08389,60
2024.01.02,03:14:00,1.08388,1.08390,1.08362,1.08363,60
2024.01.02,03:15:00,1.08362,1.08362,1.08335,1.08335,60
2024.01.02,03:16:00,1.08336,1.08338,1.08322,1.08323,60
2024.01.02,03:17:00,1.08322,1.08322,1.08297,1.08305,60
2024.01.02,03:18:00,1.08306,1.08316,1.08296,1.08297,60
2024.01.02,03:19:00,1.08296,1.08299,1.08278,1.08278,60
2024.01.02,03:20:00,1.08278,1.08288,1.08276,1.08279,60
2024.01.02,03:21:00,1.08278,1.08278,1.08267,1.08269,60
2024.01.02,03:22:00,1.08269,1.08277,1.08260,1.08261,60
2024.01.02,03:23:00,1.08260,1.08263,1.08240,1.08246,60
2024.01.02,03:24:00,1.08249,1.08257,1.08238,1.08242,60
2024.01.02,03:25:00,1.08242,1.08242,1.08209,1.08218,60
2024.01.02,03:26:00,1.08216,1.08216,1.08200,1.08206,60
2024.01.02,03:27:00,1.08205,1.08211,1.08197,1.08211,60
2024.01.02,03:28:00,1.08216,1.08226,1.08199,1.08204,60
2024.01.02,03:29:00,1.08202,1.08202,1.08186,1.08186,60
2024.01.02,03:30:00,1.08185,1.08185,1.08153,1.08161,60
2024.01.02,03:31:00,1.08159,1.08166,1.08152,1.08154,60
2024.01.02,03:32:00,1.08154,1.08154,1.08115,1.08116,60
2024.01.02,03:33:00,1.08118,1.08119,1.08086,1.08097,60
2024.01.02,03:34:00,1.08097,1.08100,1.08090,1.08091,60
2024.01.02,03:35:00,1.08090,1.08091,1.08062,1.08064,60
2024.01.02,03:36:00,1.08064,1.08070,1.08052,1.08055,60
2024.01.02,03:37:00,1.08054,1.08055,1.08040,1.08046,60
2024.01.02,03:38:00,1.08044,1.08052,1.08032,1.08033,60
2024.01.02,03:39:00,1.08032,1.08034,1.08008,1.08008,60
2024.01.02,03:40:00,1.08008,1.08012,1.07989,1.07990,60
2024.01.02,03:41:00,1.07990,1.08008,1.07989,1.07990,60
2024.01.02,03:42:00,1.07991,1.07995,1.07983,1.07987,60
2024.01.02,03:43:00,1.07987,1.08000,1.07982,1.07983,60
2024.01.02,03:44:00,1.07982,1.07985,1.07971,1.07971,60
2024.01.02,03:45:00,1.07972,1.07976,1.07952,1.07952,60
2024.01.02,03:46:00,1.07952,1.07952,1.07933,1.07936,60
2024.01.02,03:47:00,1.07936,1.07936,1.07909,1.07909,60
2024.01.02,03:48:00,1.07907,1.07911,1.07895,1.07900,60
2024.01.02,03:49:00,1.07901,1.07912,1.07899,1.07907,60
2024.01.02,03:50:00,1.07907,1.07907,1.07869,1.07870,60
2024.01.02,03:51:00,1.07873,1.07873,1.07857,1.07864,60
2024.01.02,03:52:00,1.07863,1.07864,1.07850,1.07851,60
2024.01.02,03:53:00,1.07854,1.07861,1.07828,1.07832,60
2024.01.02,03:54:00,1.07834,1.07835,1.07817,1.07819,60
2024.01.02,03:55:00,1.07818,1.07822,1.07807,1.07810,60
2024.01.02,03:56:00,1.07808,1.07808,1.07792,1.07800,60
2024.01.02,03:57:00,1.07801,1.07813,1.07797,1.07801,60
2024.01.02,03:58:00,1.07800,1.07802,1.07789,1.07790,60
2024.01.02,03:59:00,1.07788,1.07800,1.07784,1.07794,60
2024.01.02,04:00:00,1.07794,1.07794,1.07777,1.07781,60
2024.01.02,04:01:00,1.07780,1.07791,1.07777,1.07786,60
2024.01.02,04:02:00,1.07788,1.07799,1.07786,1.07786,60
2024.01.02,04:03:00,1.07785,1.07791,1.07780,1.07786,60
2024.01.02,04:04:00,1.07786,1.07795,1.07771,1.07776,60
2024.01.02,04:05:00,1.07778,1.07780,1.07758,1.07759,60
2024.01.02,04:06:00,1.07758,1.07761,1.07747,1.07752,60
2024.01.02,04:07:00,1.07751,1.07753,1.07737,1.07742,60
2024.01.02,04:08:00,1.07742,1.07742,1.07704,1.07707,60
2024.01.02,04:09:00,1.07707,1.07713,1.07700,1.07703,60
2024.01.02,04:10:00,1.07703,1.07709,1.07696,1.07703,60
2024.01.02,04:11:00,1.07700,1.07702,1.07685,1.07692,60
2024.01.02,04:12:00,1.07691,1.07696,1.07666,1.07669,60
2024.01.02,04:13:00,1.07668,1.07681,1.07662,1.07668,60
2024.01.02,04:14:00,1.07667,1.07672,1.07656,1.07658,60
2024.01.02,04:15:00,1.07660,1.07661,1.07636,1.07637,60
2024.01.02,04:16:00,1.07636,1.07636,1.07609,1.07612,60
2024.01.02,04:17:00,1.07611,1.07611,1.07594,1.07598,60
2024.01.02,04:18:00,1.07599,1.07607,1.07596,1.07596,60
2024.01.02,04:19:00,1.07596,1.07604,1.07583,1.07583,60
2024.01.02,04:20:00,1.07581,1.07584,1.07554,1.07558,60
2024.01.02,04:21:00,1.07559,1.07560,1.07526,1.07527,60
2024.01.02,04:22:00,1.07527,1.07531,1.07503,1.07503,60
2024.01.02,04:23:00,1.07501,1.07501,1.07474,1.07474,60
2024.01.02,04:24:00,1.07475,1.07476,1.07457,1.07457,60
2024.01.02,04:25:00,1.07459,1.07459,1.07435,1.07435,60
2024.01.02,04:26:00,1.07434,1.07435,1.07418,1.07422,60
2024.01.02,04:27:00,1.07425,1.07425,1.07401,1.07404,60
2024.01.02,04:28:00,1.07407,1.07408,1.07382,1.07382,60
2024.01.02,04:29:00,1.07381,1.07381,1.07333,1.07336,60
2024.01.02,04:30:00,1.07337,1.07344,1.07322,1.07322,60
2024.01.02,04:31:00,1.07323,1.07323,1.07306,1.07308,60
2024.01.02,04:32:00,1.07307,1.07312,1.07295,1.07296,60
2024.01.02,04:33:00,1.07297,1.07297,1.07269,1.07269,60
2024.01.02,04:34:00,1.07269,1.07271,1.07226,1.07226,60
2024.01.02,04:35:00,1.07223,1.07228,1.07216,1.07225,60
2024.01.02,04:36:00,1.07224,1.07233,1.07214,1.07229,60
2024.01.02,04:37:00,1.07228,1.07230,1.07209,1.07211,60
2024.01.02,04:38:00,1.07211,1.07214,1.07201,1.07205,60
2024.01.02,04:39:00,1.07203,1.07204,1.07177,1.07179,60
2024.01.02,04:40:00,1.07180,1.07183,1.07171,1.07180,60
2024.01.02,04:41:00,1.07181,1.07181,1.07162,1.07165,60
2024.01.02,04:42:00,1.07165,1.07173,1.07151,1.07151,60
2024.01.02,04:43:00,1.07152,1.07152,1.07117,1.07123,60
2024.01.02,04:44:00,1.07128,1.07129,1.07109,1.07112,60
2024.01.02,04:45:00,1.07113,1.07113,1.07084,1.07090,60
2024.01.02,04:46:00,1.07092,1.07112,1.07086,1.07112,60
2024.01.02,04:47:00,1.07115,1.07122,1.07114,1.07114,60
2024.01.02,04:48:00,1.07114,1.07120,1.07102,1.07102,60
2024.01.02,04:49:00,1.07102,1.07107,1.07087,1.07093,60
2024.01.02,04:50:00,1.07091,1.07103,1.07080,1.07083,60
2024.01.02,04:51:00,1.07083,1.07083,1.07051,1.07056,60
2024.01.02,04:52:00,1.07056,1.07061,1.07027,1.07031,60
2024.01.02,04:53:00,1.07033,1.07034,1.06997,1.06998,60
2024.01.02,04:54:00,1.06997,1.06997,1.06977,1.06985,60
2024.01.02,04:55:00,1.06984,1.06985,1.06950,1.06950,60
2024.01.02,04:56:00,1.06949,1.06949,1.06916,1.06927,60
2024.01.02,04:57:00,1.06929,1.06931,1.06891,1.06891,60
2024.01.02,04:58:00,1.06889,1.06892,1.06868,1.06871,60
2024.01.02,04:59:00,1.06869,1.06874,1.06862,1.06866,60
2024.01.02,05:00:00,1.06864,1.06866,1.06843,1.06846,60
2024.01.02,05:01:00,1.06845,1.06846,1.06824,1.06824,60
2024.01.02,05:02:00,1.06823,1.06823,1.06784,1.06784,60
2024.01.02,05:03:00,1.06784,1.06791,1.06780,1.06786,60
2024.01.02,05:04:00,1.06783,1.06783,1.06769,1.06771,60
2024.01.02,05:05:00,1.06771,1.06771,1.06752,1.06756,60
2024.01.02,05:06:00,1.06755,1.06756,1.06724,1.06724,60
2024.01.02,05:07:00,1.06724,1.06724,1.06708,1.06708,60
2024.01.02,05:08:00,1.06707,1.06709,1.06692,1.06692,60
2024.01.02,05:09:00,1.06693,1.06697,1.06671,1.06671,60
2024.01.02,05:10:00,1.06670,1.06671,1.06651,1.06651,60
2024.01.02,05:11:00,1.06650,1.06654,1.06637,1.06639,60
2024.01.02,05:12:00,1.06638,1.06641,1.06631,1.06637,60
2024.01.02,05:13:00,1.06637,1.06641,1.06622,1.06623,60
2024.01.02,05:14:00,1.06622,1.06636,1.06619,1.06630,60
2024.01.02,05:15:00,1.06631,1.06644,1.06622,1.06627,60
2024.01.02,05:16:00,1.06628,1.06628,1.06613,1.06615,60
2024.01.02,05:17:00,1.06616,1.06627,1.06614,1.06624,60
2024.01.02,05:18:00,1.06626,1.06631,1.06615,1.06626,60
2024.01.02,05:19:00,1.06626,1.06635,1.06615,1.06620,60
2024.01.02,05:20:00,1.06621,1.06626,1.06615,1.06624,60
2024.01.02,05:21:00,1.06622,1.06628,1.06610,1.06611,60
2024.01.02,05:22:00,1.06611,1.06626,1.06611,1.06620,60
2024.01.02,05:23:00,1.06620,1.06629,1.06611,1.06619,60
2024.01.02,05:24:00,1.06621,1.06629,1.06609,1.06621,60
2024.01.02,05:25:00,1.06619,1.06632,1.06618,1.06618,60
2024.01.02,05:26:00,1.06614,1.06626,1.06614,1.06623,60
2024.01.02,05:27:00,1.06623,1.06627,1.06615,1.06625,60
2024.01.02,05:28:00,1.06626,1.06632,1.06619,1.06621,60
2024.01.02,05:29:00,1.06621,1.06621,1.06608,1.06618,60
2024.01.02,05:30:00,1.06617,1.06626,1.06613,1.06619,60
2024.01.02,05:31:00,1.06619,1.06626,1.06614,1.06620,60
2024.01.02,05:32:00,1.06620,1.06629,1.06615,1.06628,60
2024.01.02,05:33:00,1.06625,1.06627,1.06612,1.06612,60
2024.01.02,05:34:00,1.06611,1.06629,1.06610,1.06626,60
2024.01.02,05:35:00,1.06627,1.06630,1.06618,1.06622,60
2024.01.02,05:36:00,1.06623,1.06629,1.06617,1.06618,60
2024.01.02,05:37:00,1.06617,1.06625,1.06615,1.06625,60
2024.01.02,05:38:00,1.06627,1.06631,1.06619,1.06627,60
2024.01.02,05:39:00,1.06624,1.06629,1.06618,1.06619,60
2024.01.02,05:40:00,1.06621,1.06636,1.06619,1.06619,60
2024.01.02,05:41:00,1.06619,1.06634,1.06613,1.06613,60
2024.01.02,05:42:00,1.06614,1.06630,1.06612,1.06624,60
2024.01.02,05:43:00,1.06622,1.06628,1.06608,1.06611,60
2024.01.02,05:44:00,1.06609,1.06628,1.06609,1.06623,60
2024.01.02,05:45:00,1.06624,1.06626,1.06617,1.06626,60
2024.01.02,05:46:00,1.06626,1.06627,1.06616,1.06625,60
2024.01.02,05:47:00,1.06622,1.06630,1.06619,1.06627,60
2024.01.02,05:48:00,1.06627,1.06631,1.06623,1.06628,60
2024.01.02,05:49:00,1.06628,1.06628,1.06611,1.06615,60
2024.01.02,05:50:00,1.06617,1.06629,1.06614,1.06618,60
2024.01.02,05:51:00,1.06618,1.06628,1.06613,1.06627,60
2024.01.02,05:52:00,1.06625,1.06639,1.06617,1.06625,60
2024.01.02,05:53:00,1.06626,1.06635,1.06620,1.06627,60
2024.01.02,05:54:00,1.06628,1.06633,1.06619,1.06626,60
2024.01.02,05:55:00,1.06627,1.06631,1.06622,1.06627,60
2024.01.02,05:56:00,1.06630,1.06632,1.06619,1.06626,60
2024.01.02,05:57:00,1.06624,1.06629,1.06615,1.06615,60
2024.01.02,05:58:00,1.06617,1.06630,1.06613,1.06623,60
2024.01.02,05:59:00,1.06624,1.06639,1.06623,1.06635,60
2024.01.02,06:00:00,1.06633,1.06636,1.06623,1.06628,60
2024.01.02,06:01:00,1.06626,1.06635,1.06620,1.06626,60
2024.01.02,06:02:00,1.06625,1.06634,1.06614,1.06627,60
2024.01.02,06:03:00,1.06626,1.06635,1.06622,1.06632,60
2024.01.02,06:04:00,1.06630,1.06639,1.06622,1.06636,60
2024.01.02,06:05:00,1.06633,1.06638,1.06620,1.06625,60
2024.01.02,06:06:00,1.06625,1.06633,1.06620,1.06627,60
2024.01.02,06:07:00,1.06627,1.06632,1.06614,1.06622,60
2024.01.02,06:08:00,1.06623,1.06634,1.06611,1.06611,60
2024.01.02,06:09:00,1.06612,1.06631,1.06612,1.06625,60
2024.01.02,06:10:00,1.06623,1.06628,1.06612,1.06623,60
2024.01.02,06:11:00,1.06623,1.06641,1.06620,1.06634,60
2024.01.02,06:12:00,1.06636,1.06641,1.06630,1.06631,60
2024.01.02,06:13:00,1.06632,1.06640,1.06626,1.06634,60
2024.01.02,06:14:00,1.06634,1.06640,1.06626,1.06628,60
2024.01.02,06:15:00,1.06631,1.06638,1.06624,1.06626,60
2024.01.02,06:16:00,1.06625,1.06631,1.06619,1.06626,60
2024.01.02,06:17:00,1.06627,1.06642,1.06619,1.06623,60
2024.01.02,06:18:00,1.06623,1.06636,1.06618,1.06635,60
2024.01.02,06:19:00,1.06634,1.06639,1.06624,1.06631,60
2024.01.02,06:20:00,1.06631,1.06638,1.06629,1.06629,60
2024.01.02,06:21:00,1.06628,1.06639,1.06625,1.06637,60
2024.01.02,06:22:00,1.06636,1.06643,1.06631,1.06633,60
2024.01.02,06:23:00,1.06631,1.06632,1.06624,1.06628,60
2024.01.02,06:24:00,1.06626,1.06635,1.06626,1.06629,60
2024.01.02,06:25:00,1.06632,1.06632,1.06625,1.06629,60
2024.01.02,06:26:00,1.06629,1.06632,1.06617,1.06626,60
2024.01.02,06:27:00,1.06625,1.06638,1.06624,1.06628,60
2024.01.02,06:28:00,1.06632,1.06635,1.06621,1.06621,60
2024.01.02,06:29:00,1.06624,1.06633,1.06621,1.06630,60
2024.01.02,06:30:00,1.06628,1.06638,1.06625,1.06636,60
2024.01.02,06:31:00,1.06636,1.06636,1.06618,1.06630,60
2024.01.02,06:32:00,1.06630,1.06633,1.06622,1.06626,60
2024.01.02,06:33:00,1.06627,1.06633,1.06620,1.06627,60
2024.01.02,06:34:00,1.06631,1.06640,1.06621,1.06622,60
2024.01.02,06:35:00,1.06621,1.06632,1.06621,1.06629,60
2024.01.02,06:36:00,1.06630,1.06631,1.06619,1.06619,60
